tipo;unidade_medida;latitude;longitude;localizacao;responsavel;status_operacional;observacao;mac_address
Temperatura;°C;-22,9141396;-47,0681575;A111-Laboratório de Eletrônica;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Umidade;%;-22,9141396;-47,0681575;A111-Laboratório de Eletrônica;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,9141236;-47,0681981;A113-Laboratório de Eletrônica;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Umidade;%;-22,9141236;-47,0681981;A113-Laboratório de Eletrônica;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,9141585;-47,0681317;A109-Laboratório de CLP;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Umidade;%;-22,9141585;-47,0681317;A109-Laboratório de CLP;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,914118;-47,0681733;A107-Laboratório de Eletrônica ;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Umidade;%;-22,914118;-47,0681733;A107-Laboratório de Eletrônica ;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,914102;-47,0681967;A105-Laboratório de Informática ;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Umidade;%;-22,914102;-47,0681967;A105-Laboratório de Informática ;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,9141437;-47,068242;A101-Laboratório de Informática ;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Umidade;%;-22,9141437;-47,068242;A101-Laboratório de Informática ;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,9142107;-47,0683976;A106-Laboratório de Informática ;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Umidade;%;-22,9142107;-47,0683976;A106-Laboratório de Informática ;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,9141952;-47,0683711;A102-Laboratório de Manufatura;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Umidade;%;-22,9141952;-47,0683711;A102-Laboratório de Manufatura;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,9141335;-47,0681984;A103-Laboratório de Informática;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Umidade;%;-22,9141335;-47,0681984;A103-Laboratório de Informática;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
